grid_id,lat,lon,avg_severity,total_loss,total_casualties,event_count,risk_score,cluster,risk_label
-19.0_-33.0,-19.0,-33.0,6.56,53090931.0,708,6,9.468002682715436,1,Extreme Danger Zone
-19.0_-49.0,-19.0,-49.0,6.7057142857142855,43662876.61,985,7,9.56535799119575,1,Extreme Danger Zone
-19.0_-63.0,-19.0,-63.0,5.588571428571428,54090859.78,937,7,9.27949330671176,0,High Risk
-19.0_-83.0,-19.0,-83.0,5.022222222222222,48324345.3,952,9,9.102843463804529,0,High Risk
-19.0_-89.0,-19.0,-89.0,6.0562499999999995,46227865.92,1202,8,9.459097578815593,1,Extreme Danger Zone
-19.0_103.0,-19.0,103.0,5.235,63350400.8,968,10,9.262426453022892,0,High Risk
-19.0_125.0,-19.0,125.0,6.142,32077591.4,818,5,9.219301658559994,2,Very High Risk
-19.0_127.0,-19.0,127.0,6.117142857142857,46205219.18,1123,7,9.445062722620351,2,Very High Risk
-19.0_137.0,-19.0,137.0,5.328749999999999,44003606.09,896,8,9.13799886670344,0,High Risk
-19.0_143.0,-19.0,143.0,6.593333333333334,40760529.55,976,6,9.494904445319897,1,Extreme Danger Zone
-19.0_159.0,-19.0,159.0,6.989999999999999,22647247.09,426,3,9.133329311695086,2,Very High Risk
-19.0_21.0,-19.0,21.0,5.921,55250254.46,1095,10,9.464131324150783,1,Extreme Danger Zone
-19.0_3.0,-19.0,3.0,5.3975,35864441.9,973,8,9.121972923078085,0,High Risk
-19.0_43.0,-19.0,43.0,4.836,50345811.47,1087,10,9.108546257079336,0,High Risk
-19.0_49.0,-19.0,49.0,5.444285714285714,46214819.22,872,7,9.167453861783919,0,High Risk
-19.0_53.0,-19.0,53.0,5.559090909090909,58339297.83,909,11,9.324787268653754,0,High Risk
-19.0_59.0,-19.0,59.0,6.481999999999999,22403501.32,570,5,9.105411067272033,2,Very High Risk
-19.0_65.0,-19.0,65.0,6.0025,43732001.59,1255,8,9.439255876870329,2,Very High Risk
-21.0_-13.0,-21.0,-13.0,5.9959999999999996,28169391.74,833,5,9.141969942423838,0,High Risk
-21.0_-3.0,-21.0,-3.0,6.478,43158819.86,625,5,9.328500271585968,2,Very High Risk
-21.0_-7.0,-21.0,-7.0,5.5128571428571425,38561508.47,797,7,9.106763428144067,0,High Risk
-21.0_111.0,-21.0,111.0,6.7275,21926563.87,708,4,9.219313289437977,2,Very High Risk
-21.0_115.0,-21.0,115.0,6.015714285714286,41948758.82,771,7,9.272941633034957,2,Very High Risk
-21.0_137.0,-21.0,137.0,5.822222222222222,46913811.83,1230,9,9.410746625827246,2,Very High Risk
-21.0_155.0,-21.0,155.0,5.958333333333333,33997670.480000004,729,6,9.162545153454108,0,High Risk
-21.0_167.0,-21.0,167.0,5.102,53167953.66,990,10,9.176693812621103,0,High Risk
-21.0_27.0,-21.0,27.0,6.357142857142857,47067981.06,616,7,9.342678780907018,2,Very High Risk
-21.0_45.0,-21.0,45.0,7.0675,62782681.89,1069,8,9.819153588946346,1,Extreme Danger Zone
-21.0_5.0,-21.0,5.0,6.13625,46140824.71,862,8,9.382884476949195,2,Very High Risk
-21.0_69.0,-21.0,69.0,6.1659999999999995,51000766.27,1294,10,9.563674690045499,1,Extreme Danger Zone
-21.0_85.0,-21.0,85.0,5.328749999999999,47549211.58,891,8,9.159570033603664,0,High Risk
-21.0_99.0,-21.0,99.0,6.3185714285714285,44781649.38,840,7,9.40908578785578,2,Very High Risk
-23.0_-11.0,-23.0,-11.0,5.806,74334674.01,1329,10,9.57669622066116,1,Extreme Danger Zone
-23.0_-125.0,-23.0,-125.0,6.654999999999999,20191589.75,665,4,9.154063725262464,2,Very High Risk
-23.0_-131.0,-23.0,-131.0,5.774285714285715,35448790.56,853,7,9.180289143126046,0,High Risk
-23.0_-155.0,-23.0,-155.0,6.194,34869653.31,886,5,9.283867693092674,2,Very High Risk
-23.0_-161.0,-23.0,-161.0,7.066666666666666,23134812.0,483,3,9.200309637316806,2,Very High Risk
-23.0_-163.0,-23.0,-163.0,6.2542857142857144,42843448.23,784,7,9.355853978150945,2,Very High Risk
-23.0_-27.0,-23.0,-27.0,6.825,29465560.59,889,6,9.439077274413801,1,Extreme Danger Zone
-23.0_-33.0,-23.0,-33.0,5.59,51826595.38,655,6,9.14646345731635,0,High Risk
-23.0_-35.0,-23.0,-35.0,5.758,38677379.89,680,5,9.104874292968377,0,High Risk
-23.0_-49.0,-23.0,-49.0,6.378333333333334,37086999.53,700,6,9.302476503860843,2,Very High Risk
-23.0_-91.0,-23.0,-91.0,6.8875,15190036.73,584,4,9.09952245294492,2,Very High Risk
-23.0_-93.0,-23.0,-93.0,5.751428571428571,45359889.730000004,999,7,9.29474095182027,0,High Risk
-23.0_-95.0,-23.0,-95.0,6.556,46189319.58,855,5,9.466134811681583,1,Extreme Danger Zone
-23.0_-97.0,-23.0,-97.0,5.961428571428571,36673790.29,769,7,9.215561757287574,0,High Risk
-23.0_115.0,-23.0,115.0,6.4399999999999995,20497702.259999998,702,4,9.110297879306977,2,Very High Risk
-23.0_133.0,-23.0,133.0,6.196,29820581.04,720,5,9.175380503774603,2,Very High Risk
-23.0_135.0,-23.0,135.0,5.73,37825006.49,876,6,9.181087417313945,0,High Risk
-23.0_151.0,-23.0,151.0,5.772,36824019.9,751,5,9.124095123720863,0,High Risk
-23.0_157.0,-23.0,157.0,5.892857142857143,42009074.16,1048,7,9.328497947987469,0,High Risk
-23.0_169.0,-23.0,169.0,4.873,59079444.57,1137,10,9.181115901042533,0,High Risk
-23.0_17.0,-23.0,17.0,6.098000000000001,31055459.09,643,5,9.124271124512143,0,High Risk
-23.0_25.0,-23.0,25.0,6.208,34340896.13,691,5,9.209005995013971,2,Very High Risk
-23.0_51.0,-23.0,51.0,5.911666666666666,32285484.78,676,6,9.110430895942889,0,High Risk
-23.0_63.0,-23.0,63.0,5.372,54561582.45999999,1305,10,9.348258998262464,0,High Risk
-23.0_7.0,-23.0,7.0,6.258333333333333,28121472.630000003,896,6,9.257420982098198,2,Very High Risk
-23.0_71.0,-23.0,71.0,5.896666666666666,35271794.71,975,6,9.242208055076533,0,High Risk
-23.0_81.0,-23.0,81.0,6.763333333333333,35797965.78,692,6,9.403920511433506,2,Very High Risk
-23.0_87.0,-23.0,87.0,6.7125,31961475.93,513,4,9.231373337766529,2,Very High Risk
-23.0_91.0,-23.0,91.0,5.967272727272728,68607752.69,1552,11,9.656230464263224,1,Extreme Danger Zone
-23.0_97.0,-23.0,97.0,5.678571428571429,41500391.45,670,7,9.126510356365731,0,High Risk
-25.0_-11.0,-25.0,-11.0,5.804285714285714,39216890.08,829,7,9.211043010745922,0,High Risk
-25.0_-123.0,-25.0,-123.0,5.594545454545455,66701708.25,1232,11,9.466738293240102,0,High Risk
-25.0_-139.0,-25.0,-139.0,6.121428571428572,47139201.81,1063,7,9.435894589831062,2,Very High Risk
-25.0_-143.0,-25.0,-143.0,5.211428571428571,48025673.95,860,7,9.104974973122454,0,High Risk
-25.0_-149.0,-25.0,-149.0,5.2125,34807821.52,1123,8,9.100472978232252,0,High Risk
-25.0_-153.0,-25.0,-153.0,7.305,45913933.27,842,6,9.69986486465423,1,Extreme Danger Zone
-25.0_-155.0,-25.0,-155.0,5.6241666666666665,58887760.79,1337,12,9.470767462225396,0,High Risk
-25.0_-157.0,-25.0,-157.0,5.815714285714286,50942947.55,898,7,9.316908422816875,0,High Risk
-25.0_-165.0,-25.0,-165.0,6.076666666666667,43745155.63,509,6,9.166081670332916,0,High Risk
-25.0_-23.0,-25.0,-23.0,6.154,28636056.73,693,5,9.139170707521856,0,High Risk
-25.0_-25.0,-25.0,-25.0,5.91625,50058292.83,1014,8,9.390000253442214,2,Very High Risk
-25.0_-31.0,-25.0,-31.0,5.91,36993503.32,745,6,9.179884563849852,0,High Risk
-25.0_-35.0,-25.0,-35.0,5.405,47179010.9,752,6,9.104148489803967,0,High Risk
-25.0_-43.0,-25.0,-43.0,5.061999999999999,51705395.01,1121,10,9.193571764784346,0,High Risk
-25.0_-55.0,-25.0,-55.0,7.7620000000000005,44856195.84,897,5,9.833518658925671,1,Extreme Danger Zone
-25.0_-69.0,-25.0,-69.0,6.322,28618496.259999998,575,5,9.133477392354177,2,Very High Risk
-25.0_-7.0,-25.0,-7.0,5.303333333333333,49803903.44,981,9,9.20521708420511,0,High Risk
-25.0_-75.0,-25.0,-75.0,6.0616666666666665,40281025.980000004,481,6,9.119891585575939,0,High Risk
-25.0_-83.0,-25.0,-83.0,4.9911111111111115,41817652.89,1150,9,9.106756510309241,0,High Risk
-25.0_-99.0,-25.0,-99.0,5.4314285714285715,48512224.35,779,7,9.144358819466387,0,High Risk
-25.0_105.0,-25.0,105.0,6.698333333333333,25414945.1,877,6,9.352639389415891,2,Very High Risk
-25.0_11.0,-25.0,11.0,5.40625,46698975.84,862,8,9.167491709016073,0,High Risk
-25.0_117.0,-25.0,117.0,5.847777777777778,48287558.09,953,9,9.350596296967643,0,High Risk
-25.0_119.0,-25.0,119.0,5.227777777777778,45586746.1,1102,9,9.190866827949941,0,High Risk
-25.0_3.0,-25.0,3.0,6.7620000000000005,43451504.49,658,5,9.431139824633698,1,Extreme Danger Zone
-25.0_93.0,-25.0,93.0,5.721666666666667,38242739.38,824,6,9.163545322676956,0,High Risk
-27.0_-1.0,-27.0,-1.0,7.173333333333333,25785010.92,345,3,9.164152252954716,2,Very High Risk
-27.0_-119.0,-27.0,-119.0,6.17,63156101.32,1382,10,9.648728637050628,1,Extreme Danger Zone
-27.0_-139.0,-27.0,-139.0,7.08,19480749.42,487,2,9.126437064029941,2,Very High Risk
-27.0_-149.0,-27.0,-149.0,5.393,62253320.23,1200,10,9.368979207397302,0,High Risk
-27.0_-15.0,-27.0,-15.0,5.6571428571428575,37170363.629999995,720,7,9.108585458101775,0,High Risk
-27.0_-159.0,-27.0,-159.0,6.382,37469808.81,674,5,9.27990358267347,2,Very High Risk
-27.0_-25.0,-27.0,-25.0,6.776000000000001,29826509.36,774,5,9.371107305349916,2,Very High Risk
-27.0_-31.0,-27.0,-31.0,5.185,41875295.15,1005,8,9.114405649028518,0,High Risk
-27.0_-39.0,-27.0,-39.0,5.663333333333334,51618888.14,541,6,9.109990284958329,0,High Risk
-27.0_-43.0,-27.0,-43.0,6.635000000000001,32554540.650000002,557,6,9.27192693721097,2,Very High Risk
-27.0_-45.0,-27.0,-45.0,5.665714285714286,45639625.99,1005,7,9.272665718095197,0,High Risk
-27.0_-65.0,-27.0,-65.0,5.4628571428571435,39671152.47,782,7,9.09458156643237,0,High Risk
-27.0_-67.0,-27.0,-67.0,5.043333333333333,50494091.07,972,9,9.128583803561908,0,High Risk
-27.0_-71.0,-27.0,-71.0,5.295,46754394.3,951,10,9.183984685634828,0,High Risk
-27.0_-75.0,-27.0,-75.0,7.206666666666667,26971386.36,558,3,9.331560418454446,2,Very High Risk
-27.0_-85.0,-27.0,-85.0,5.738333333333333,35663680.0,814,6,9.143940465869928,0,High Risk
-27.0_107.0,-27.0,107.0,6.785714285714286,45067845.79,922,7,9.579051095852368,1,Extreme Danger Zone
-27.0_113.0,-27.0,113.0,6.151666666666666,29930186.259999998,777,6,9.201422413081461,2,Very High Risk
-27.0_123.0,-27.0,123.0,6.1571428571428575,42616975.769999996,971,7,9.38922272692327,2,Very High Risk
-27.0_153.0,-27.0,153.0,5.28125,45626693.6,813,8,9.105486620862882,0,High Risk
-27.0_23.0,-27.0,23.0,6.272,34840033.22,817,5,9.282717955549366,2,Very High Risk
-27.0_33.0,-27.0,33.0,5.429,62584338.43,749,10,9.240119180015856,0,High Risk
-27.0_61.0,-27.0,61.0,6.244,31161779.93,631,5,9.163453644676306,2,Very High Risk
-27.0_67.0,-27.0,67.0,6.65,39860848.64,880,5,9.458764791141569,1,Extreme Danger Zone
-27.0_93.0,-27.0,93.0,6.046666666666667,42363122.14,688,6,9.23770003755877,0,High Risk
